"PublishedUtc","Version","Platform","File","Bytes","SHA256","Publisher","DeployId","Signed","URL","SyncPipelineToolReleaseId","SyncPipelineArtifactId","SyncPipelinePublishJobId","ToolsCatalogStatus"
"2026-09-22T15:22:24.7971960Z","1.0.1","Windows","B-Line-Setup-2026-09-22.zip","94525895","6cbd79a5d1c3ce376046249af81895f0f146dac41d113239024554b3b72250f7","Stargit Studio AB","139","False","https://fusion.ams3.digitaloceanspaces.com/Applications/B-Line/B-Line-Setup-2026-09-22.zip","1","8","6","published"
"2026-09-22T16:17:31.848020+00:00","1.0.2","Windows","B-Line-Setup-1.0.2-2026-09-22.zip","96329454","71fa4f769c99eedbda89d6901fc95c46b43ac993aa7ddc13405f2481e9515d29","Stargit Studio AB","140","False","https://fusion.ams3.digitaloceanspaces.com/Applications/B-Line/B-Line-Setup-1.0.2-2026-09-22.zip","7","13","7","published"
